Phrase	Anno	Maj_anno	Sentence
Verbesserung System	Literal,Literal,Literal	Literal	Vielen Abgeordneten lag bei der Arbeit der Schutz der Interessen ihrer eigenen Länder näher als die Verbesserung des Gesamtsystems für Europa .
System verbessern	Literal,Literal,Literal	Literal	Außerdem wollen wir das System für den raschen Informationsaustausch verbessern , das die Kommission zur Überwachung der Information über gefährliche Produkte und entsprechende Maßnahmen unterhält .
Verbesserung Justizwesen	Literal,Literal,Literal	Literal	Zur gleichen Zeit arbeitet die Kommission an einem Programm zur Verbesserung des Justizwesens .
Verbesserung Justizapparate	Literal,Literal,Literal	Literal	Uns ist klar , dass die Anerkennung von gerichtlichen Entscheidungen und Standards ein gegenseitiges Vertrauen , wenn auch kein blindes Vertrauen , in die jeweiligen Verfahren erfordert , und aus diesem Grunde habe ich einen Änderungsantrag vorgelegt , in dem Sofortmaßnahmen zur Verbesserung der Justizapparate in unseren Mitgliedstaaten , die Förderung des Benchmarking sowie des Austauschs vorteilhafter Praktiken gefordert werden .
Verbesserung Arbeit	Literal,Literal,Literal	Literal	Damit verfügen wir nicht nur über die Perspektive des Gipfels von Kairo , sondern über eine solide Grundlage für die Fortsetzung , Erweiterung und Verbesserung unserer täglichen Arbeit .
Arbeit verbessern	Literal,Literal,Literal	Literal	Wir müssen diesen Mechanismus zu schätzen wissen und die durch die Petitionen zum Ausdruck gebrachte Erfahrung der Menschen , die wir vertreten , nutzen , um unserer Arbeit insgesamt zu verbessern .
Geld investieren	Literal,Literal,Literal	Literal	Wenn ich heute hier rede , habe ich verschiedene Hüte auf : erstens den des Ziehvaters dieses Berichts ; zweitens den als Verfasser der Stellungnahme und schließlich den wichtigsten als jemand , der die riesigen möglichen Vorteile für die Europäische Union sieht , die von einem harmonisierten System der OGAW ausgehen , das nämlich sichert , daß das gegenwärtig in Europa verdiente , aber außerhalb der Europäischen Union investierte und nicht zum Nutzen der Wirtschaft der Union beitragende Geld in dieser Wirtschaft verbleibt , um Unternehmertum und Beschäftigung entstehen zu lassen sowie künftige Pensionsrechte zu garantieren .
Summe investieren	Literal,Literal,Literal	Literal	Die Vereine in meiner Region befürchten , dass sich die Summen , die sie in den Kauf von Spielern investieren , möglicherweise nicht rentieren , und wie Herr Cushnahan sagte , werden sie das Interesse an den Fußballakademien und an Investitionen in den Kommunen verlieren , wenn die entsprechenden Erträge ausbleiben .
Investition Geld	Literal,Literal,Literal	Literal	Glauben Sie mir , was die Investition dieses Geldes betrifft , bestehen im Vereinten Königreich viele andere Prioritäten , und nun , da die Europäische Kommission verkündet hat , dass Großbritannien Gefahr läuft , aufgrund seiner hohen Staatsschulden Pleite zu machen , wäre dieses Land froh über eine erhebliche Herabsetzung seiner EU-Beiträge , und ich bin überzeugt , dass es anderen Ländern genauso geht .
finanzielle Unterstützung leisten	Literal,Literal,Literal	Literal	Herr Patten hat selbst gesagt , dass es effektiver und wirtschaftlicher ist , schon früher finanzielle Unterstützung zu leisten als später Geld für den Wiederaufbau auszugeben .
Summe Investition	Literal,Literal,Literal	Literal	Wie Herr Crowley erwähnte , haben wir in Irland eine Rücklage eingerichtet , in die jährlich 1 % des BIP eingezahlt wird . Inzwischen beläuft sich diese Rücklage auf mehrere Milliarden Euro , ja die Summe ist so groß , dass bereits über deren Investition gestritten wird .
Mittel einsetzen	Figurative,Figurative,Literal	Figurative	Herr Präsident , wie mehrere Redner bereits erwähnt haben , arbeiten wir in diesem Jahr zum ersten Mal mit einem Haushalt , der tätigkeitsbezogen ist , was bewirken soll , dass sich die politischen Präferenzen im Haushaltsplan sehr viel besser widerspiegeln , und wir leichter überblicken können , wo die Mittel eingesetzt werden .
Einsatz Geld	Figurative,Literal,Literal	Literal	Dabei liegt auf der Hand , dass die Zusammenarbeit auf EU-Ebene die besten Wege für die Verwendung und den Einsatz der Gelder aufzeigen könnte .
Geld anlegen	Literal,Literal,Literal	Literal	Ich stimme dem Herrn Abgeordneten insofern zu , dass es natürlich ideal ist , wenn in einem Binnenmarkt , der fast ganz Europa erfasst , steuerliche Regeln festgesetzt werden . Es ist aber notwendig , dass sie auch wirksam werden , dass auch in den angrenzenden Ländern oder möglichst über den Kontinent hinaus dieselben Regeln angewendet werden , sonst gibt man ja den EU-Bürgern die Möglichkeit , im Ausland , wo derartige Regeln nicht gelten , ihre Gelder anzulegen .
Geld in etw. stecken	Figurative,Literal,Figurative	Figurative	Unser Ziel muss es sein , unseren Worten Taten folgen zu lassen , Geld in die Erzeugung von Hochspannungssolarstrom und Solarwärme zu stecken und politisches Kapital in die zwischenmenschlichen Beziehungen über das Mittelmeer hinweg zu investieren , damit dies möglich wird .
auf Bemerkung eingehen	Figurative,Figurative,Literal	Figurative	Ich möchte deshalb den Herrn Kommissar , der in der vorangegangenen Debatte freundlicherweise auf einige meiner Bemerkungen eingegangen ist , bitten , dies zu prüfen und dem Parlament und mir über die Ergebnisse Bericht zu erstatten .
Bermerkung machen	Literal,Literal,Literal	Literal	Meine Damen und Herren , lassen Sie mich einige abschließende Bemerkungen machen .
Aussage machen	Literal,Literal,Literal	Literal	Herr Präsident , ich schließe mich vielen der von Frau McKenna und Frau Maij-Weggen zur Lage in Birma gemachten Aussagen an .
Stellung nehmen	Figurative,Figurative,Figurative	Figurative	Dies ist jedoch ein großer Schritt , und ich denke nicht , dass ich heute Abend Stellung zu einer Änderung dieses heiklen und komplizierten interinstitutionellen Gleichgewichts nehmen kann .
Gedanke einbringen	Figurative,Literal,Literal	Literal	Herr Präsident , Herr Kommissar , liebe Kolleginnen und Kollegen ! Ich möchte zu dem Bericht Inglewood zwei Gedanken mit einbringen .
auf Antrag eingehen	Figurative,Figurative,Literal	Figurative	Bei so vielen Änderungsanträgen ist es mir unmöglich , auf jeden Antrag im Einzelnen einzugehen .
sich zu etw. Äußern	Literal,Literal,Literal	Literal	Ich möchte mich nicht zu dem Problem äußern , das Gegenstand dieser Demonstration war , aber dies ist das zweite Mal , dass der Zugang zum Parlament durch dieselben Demonstranten behindert wurde .
auf Bericht eingehen	Figurative,Figurative,Literal	Figurative	Ich möchte nun kurz auf den Bericht selbst eingehen .
Zusammenhang beweisen	Literal,Literal,Literal	Literal	Das Weißbuch räumt ein , daß der Verursacher nur dann zur Verantwortung gezogen werden kann , wenn er ermittelt wurde , wenn der Schaden quantifizierbar ist und ein kausaler Zusammenhang zweifelsfrei bewiesen ist .
Zusammenhang herstellen	Figurative,Literal,Literal	Literal	Dieses sind die gleichen Menschen , und wir müssen diesen Zusammenhang herstellen : Die Menschen , die hierher kommen , sind eigentlich die gleichen Menschen wie die in den Lagern Lebenden .
deutlich machen	Literal,Literal,Literal	Literal	Wir müssen das Vertrauen des europäischen Steuerzahlers gewinnen . Doch das wird uns nur gelingen , wenn wir die Rechenschaftspflicht verbessern , indem wir die Arbeit des Parlaments vereinfachen , anstatt sie zu mystifizieren , indem wir uns verständlicher ausdrücken , den Prozeß der Rechtsetzung und die Rechtsetzungsstrukturen verbessern , und indem wir deutlich machen , wie unsere Arbeit dem einzelnen zugute kommt .
als Entschuldigung nehmen	Figurative,Literal,Figurative	Figurative	Wir müssen moderne und einfache Kommunikationsmittel benützen , aber nehmen Sie dies nicht als Entschuldigung für trostlose Papiermittel für die Bekanntmachung und die Kontaktaufnahme mit dem Bürgerbeauftragten .
Bemerkung machen	Literal,Literal,Literal	Literal	Wenn ich noch eine Bemerkung über eine derzeitige Kontroverse in meinem eigenen Land machen darf : Ich halte es für bedauerlich , solche Kraftanstrengungen mit ansehen zu müssen , um auf Gegenseitigkeit beruhende exzellente alte Versicherungsunternehmen , die den kollektiven Aspekt der Versicherung voll verkörpern , aus der Gegenseitigkeit zu entlassen , und ich denke mit Bedauern an solch einen Angriff auf die Standard Life .
Anmerkung machen	Literal,Literal,Literal	Literal	Ich möchte gern einige technische Anmerkungen zum Bericht machen .,Wenn Sie Fragen über Ihre , meine und anderer Leute koloniale Vergangenheit hatten , wäre das der richtige Zeitpunkt gewesen , diese Fragen zu stellen , ihre Anmerkungen zu machen und ihre Kritik zum Ausdruck zu bringen .,Lassen Sie mich zunächst einige allgemeine Anmerkungen machen , um dann auf meinen Bericht einzugehen .,An dieser Stelle möchte ich konkretere Anmerkungen zum Berichtsentwurf und Entschließungsantrag machen .,Ich möchte die Gelegenheit nutzen , einige allgemeine Anmerkungen zur Kommunikation zu machen .,im Namen der Verts/ALE-Fraktion . - Herr Präsident , liebe Kolleginnen und Kollegen ! Als Koordinatorin der Außen - und Sicherheitspolitik der Fraktion der Grünen möchte ich einige kritische Anmerkungen machen .,Verfasserin . - Herr Präsident , bevor wir über die von mir vorgelegte Entschließung über den Beitrittsprozess der ehemaligen jugoslawischen Republik Mazedonien abstimmen , möchte ich drei technische Anmerkungen machen , sodass jeder über die richtigen Texte entscheiden kann .,Ich möchte noch ein oder zwei Anmerkungen zu meinem Bericht machen und insbesondere unsere Verhandlungen mit dem Rat hervorheben , - leider hatten Sie , Herr Präsident , keine Gelegenheit zu sprechen , aber Sie waren in großem Umfang an den Verhandlungen beteiligt - bei denen bedeutende Fortschritte im Bereich der Verletzung des Datenschutzes und insbesondere bei der Verwendung von Cookies und den Rechten , die Nutzer zur Ablehnung von Vorrichtungen haben , die möglicherweise Daten auf ihren Computern sammeln , erzielt wurden .,im Namen der Verts/ALE-Fraktion . - Frau Präsidentin ! Ich will gar nicht wiederholen , was meine Kolleginnen und Kollegen zu Recht vor mir gesagt haben , sondern eher ein paar generelle Anmerkungen machen .
Bemerkung anbringen	Figurative,Figurative,Literal	Figurative	Ich möchte eine weitere Bemerkung bezüglich der Liberalisierung und der öffentlichen Dienste anbringen : Dies sind zwei verschiedene Dinge .
Bemerkung vorbringen	Figurative,Literal,Figurative	Figurative	Wie ich bereits sagte , war sie sehr ausgewogen . Ich werde dafür Sorge tragen , dass meine Dienststellen und ich die Hinweise und Bemerkungen , die von den Abgeordneten dieses Hohen Hauses heute Abend vorgebracht wurden , umfassend berücksichtigen .
Bemerkung vorausschicken	Figurative,Figurative,Literal	Figurative	Herr Präsident , verehrte Kolleginnen und Kollegen ! Ich glaube ich muss eine Bemerkung vorausschicken , nachdem ich die Berichterstatter zu ihrer Arbeit beglückwünscht habe .
zu Bemerkung kommen	Figurative,Literal,Figurative	Figurative	Zwei Fragen wurden sehr eindeutig gestellt , und ich möchte sie beantworten , bevor ich zu meinen abschließenden Bemerkungen komme .
Bemerkung dahinsagen	Literal,Literal,Literal	Literal	Gut ist , dass Kommissar Špidla im Augenblick im Parlament ist , und ich hoffe , dass er meine Bemerkungen zur Kenntnis genommen hat , denn sie sind ernst gemeint und nicht nur leichtfertig dahingesagt .
Bemerkung äußern	Literal,Literal,Literal	Literal	Ich fand die von den Abgeordneten geäußerten Bemerkungen sehr interessant und anregend .,im Namen der S&D - Fraktion . - ( FR ) Frau Präsidentin , Herr Ratsvorsitzender , Herr Kommissar ! Ich stimme den soeben geäußerten Bemerkungen von Frau McGuinness , dass es einen wesentlichen Zusammenhang zwischen Nahrungsmittel - und Landwirtschaftsfragen gibt , vollkommen zu .
Erklärung abgeben	Figurative,Literal,Figurative	Figurative	Es ist sehr unhöflich , derartige Erklärungen hier im Plenarsaal in Abwesenheit des betreffenden Kollegen abzugeben .
Äußerung erfolgen	Literal,Literal,Literal	Literal	Da einige dieser Äußerungen öffentlich erfolgten , möchte ich an dieser Stelle kurz darauf eingehen .
Äußerung vorbringen	Figurative,Literal,Figurative	Figurative	Herr Präsident ! Ich schließe mich den soeben vorgebrachten Äußerungen an .
Äußerung tätigen	Figurative,Literal,Literal	Literal	Es wundert mich sehr , dass ich Äußerungen rechtfertigen muss , die ich im Zusammenhang mit einem Vorfall getätigt habe , der Fragen hinsichtlich seiner Vereinbarkeit mit Artikel 49 EU-Vertrag aufwirft .
Äußerung machen	Literal,Literal,Literal	Literal	Wir mögen zwar nicht immer bei jedem Thema und jedem Dossier einer Meinung sein . So stimme ich auch nicht mit einigen Äußerungen überein , die heute Abend gemacht wurden , da sie nicht der Wahrheit entsprechen und nicht realistisch sind .
Ausführung machen	Literal,Literal,Literal	Literal	Ich möchte dem Berichterstatter zu seinem Bericht gratulieren und die Ausführungen , die er gerade gemacht hat , ausdrücklich unterstützen .
Warnung voranstellen	Figurative,Literal,Figurative	Figurative	Wir können und sollten etwas tun , aber ich wollte meinen Ausführungen diese kleine Warnung voranstellen .
Ding ansprechen	Literal,Literal,Literal	Literal	Vielleicht haben wir in diesem Rahmen die Möglichkeit , ein oder zwei Dinge anzusprechen , was im Zusammenhang mit den konkreten Punkten in diesem relativ kurzen Bericht nicht möglich war .
Kritik üben	Figurative,Figurative,Figurative	Figurative	Ich möchte auch all jenen danken , die konstruktive Kritik an der Arbeit des Bürgerbeauftragten geübt haben .
etw. zu Thema sagen	Literal,Literal,Literal	Literal	Herr Präsident ! Ich möchte nur klarstellen , dass angesichts dessen , was ich heute Vormittag bereits zu diesem Thema sagte , die Kommission auf Grund der bestehenden Haushaltszwänge den 351 Millionen Euro nicht zustimmen kann .
Aussagen tätigen	Literal,Literal,Literal	Literal	Tamás Deutsch hat im Vorjahr im Rahmen einer Rundfunksendung Aussagen getätigt , wegen denen er nach ungarischem Recht angeklagt wurde .
Aussagen treffen	Figurative,Figurative,Figurative	Figurative	Diese Aussagen hat er in einer BBC-Sendung im Vereinigten Königreich getroffen .
Festsellung treffen	Figurative,Figurative,Figurative	Figurative	Deshalb möchte ich drei Feststellungen treffen .
auf Anmerkung eingehen	Figurative,Figurative,Figurative	Figurative	Ich möchte zunächst zu diesem Bericht Stellung nehmen und zum Abschluss noch mit einigen Anmerkungen auf unsere Diskussion über Johannesburg eingehen .
Anschuldigung erheben	Figurative,Figurative,Literal	Figurative	Wie es scheint , erhob Herr Campos seine Anschuldigungen jedoch nicht spontan und ohne Hintergrund .
Wort anrichten	Figurative,Figurative,Literal	Figurative	Ich hoffe , ich bekomme etwas zusätzliche Redezeit zugestanden , weil ich dies im Namen von Herrn Muscat eingeflochten habe , denn ich möchte nun einige herzliche Worte an den Berichterstatter , Herrn Nassauer , richten .
Kommentar verfassen	Literal,Literal,Literal	Literal	Ich weiß auch , dass Thomas Markert , der Generalsekretär der Venedig-Kommission am 25 . Mai im Ausschuss für Bürgerliche Freiheiten , Justiz und Inneres zugegen war , und ich habe die von ihm verfassten Kommentare mit großem Interesse gelesen . -
Mit Job klappt es	Figurative,Figurative,Literal	Figurative	Wenn es mit dem Job auf dem Brüsseler Flughafen nicht klappt , kann ich mein Glück ja auf dem Flughafen in Frankfurt versuchen , wo ich häufig einen Zwischenstopp einlegen muss , wenn die Fragestunde hier in diesem Parlament wieder einmal sehr lange gedauert hat .
Projekt verwalten	Literal,Literal,Literal	Literal	Als ich Mitglied des Haushaltskontrollausschusses war und mit Leuten zusammentraf , die dieses Projekt verwalteten , war ich ganz und gar nicht davon beeindruckt , was sie von der Führung einer solchen Unternehmung wussten , und ich bin mit Wirtschaft und Finanzen vertraut .
Projekt managen	Literal,Literal,Literal	Literal	Es gibt zu viele Verantwortliche , so dass das Projekt schließlich nicht durchgängig gemanagt wird .
Wort falsch auslegen	Figurative,Figurative,Figurative	Figurative	Bei solchen Vorschlägen scheuen sich viele Politiker , ihre Ablehnung zu äußern , weil sie fürchten , ihre Worte könnten falsch ausgelegt werden . Und doch bestehen gewisse Bedenken , dass der Zusammenhang zwischen der Verwendung von Phthalaten in Spielzeug und einer Gefahr für Kinder noch nicht eindeutig erwiesen ist .
Konferenz organisieren	Literal,Literal,Literal	Literal	Die Euro-Mittelmeer-Konferenz zu Fragen der Wasserwirtschaft , die am 25 . und 26 . November 1996 in Marseille stattfand , wurde auf Initiative der Europäischen Kommission und der französischen Regierung sowie mit Unterstützung der Stadt Marseille organisiert .
Konferenz veranstalten	Literal,Literal,Literal	Literal	Nächstes Jahr im Mai werden wir in diesem Haus gemeinsam mit der UNCTAD eine Konferenz über die am wenigsten entwickelten Länder veranstalten , und für den 28 . September planen wir außerdem eine Konferenz mit der WHO und UNAIDS über Malaria , HIV/AIDS und Tuberkulose , die drei wichtigsten übertragbaren Krankheiten .
Konferenz durchführen	Literal,Literal,Literal	Literal	Im Hinblick auf soziale Sicherheit und den Arbeitsmarkt fordert der Bericht die Kommission erstens auf , vor Ende dieses Jahres eine internationale Konferenz der Mitgliedstaaten und beitrittswilligen Länder zur Situation von Grenzarbeitnehmern durchzuführen .
Konferenz abhalten	Literal,Literal,Literal	Literal	Es gab zu dieser Frage mehrere Diskussionen auf der Tagung des Rates `` Landwirtschaft '' , und im letzten Monat wurde in Stockholm auch eine große Konferenz abgehalten , worüber Frau Winberg gerade gesprochen hat .
Konferenz vorbereiten	Literal,Literal,Literal	Literal	Was uns betrifft , so wird das nächste Ereignis die Geberkonferenz sein , die wir gemeinsam mit der Weltbank vorzubereiten versuchen werden .
Veranstaltung organisieren	Literal,Literal,Literal	Literal	Aus diesem Grund organisiert die G-8 zunehmend weitere Veranstaltungen und Treffen mit Drittländern und der Zivilgesellschaft am Rande des Gipfels .
Produktion organisieren	Literal,Literal,Literal	Literal	Es ist dann Aufgabe der einzelnen Unternehmen , die Produktion nach eigenen Kriterien im Rahmen der vorhandenen Anlagen zu organisieren .,Ich nehme das wirklich sehr ernst , weil ich nicht will , dass meine Maßnahmen , denen die Mitgliedstaaten zugestimmt haben , eine schlimme Lage noch weiter verschlimmern , indem die Fähigkeit der Unternehmen , vorauszuplanen und ihre Produktion zu organisieren , noch weiter gestört oder unterminiert wird , was natürlich erschwert wird , wenn die Liefer - und Produktionsketten durch solche Interventionen beeinträchtigt oder gestört werden .
Gebühr zahlen	Literal,Literal,Literal	Literal	In alten Zeiten zogen die Leute schlecht ausgerüstet und unter Lebensgefahr hinaus ; heute besitzen sie die Fähigkeit zu wissen , wo die Fische sind , wie man sie fängt und wie man sie nutzt , und dafür sollten sie eine Gebühr zahlen .
Gebühr bezahlen	Literal,Literal,Literal	Literal	Hier ist ein Land , das ein Handelsabkommen mit der EU schließen kann , ohne in den Club eintreten zu müssen , ohne die Mitgliedsgebühr bezahlen oder jedes Jahr Tausende von Richtlinien und Verordnung übernehmen zu müssen .
Gebühr erheben	Figurative,Figurative,Figurative	Figurative	Für Lastwagen aus anderen Ländern wird die im Vereinigten Königreich geltende Straßenbenutzungsgebühr nicht erhoben .
Steuer zahlen	Literal,Literal,Literal	Literal	Angesichts der Tatsache , dass die Transportunternehmer im Vereinigten Königreich bereits heute die weltweit höchsten Mineralölsteuern zahlen , würden diese Vorschläge das Ende für viele Unternehmen im Güterkraftverkehrssektor des Vereinigten Königreichs bedeuten .
Herausforderung vorstellen	Figurative,Literal,Figurative	Figurative	Dies stellt die Wettbewerbspolitik vor immense Herausforderungen , und ich kann nur hoffen , daß sie ihnen gerecht werden kann . Denn eines ist sicher , bei vielen dieser Fusionen geht es weniger darum , die Produktivität zu steigern und den betreffenden Unternehmen die Operation in einem größeren Umfeld zu ermöglichen , als vielmehr um die Sicherung der Gewinnspannen gegenüber der Konkurrenz .,Allgemeiner ausgedrückt , das Umfeld des Wertpapierhandels hat sich grundlegend gewandelt , was die EU-Gesetzgebung vor neue Herausforderungen stellt .
Herausforderung stellen	Figurative,Literal,Figurative	Figurative	Selbst im günstigsten Falle stellt die Logistik der erforderlichen Hilfsmaßnahmen eine immense Herausforderung dar .
mit Problem verbinden	Figurative,Figurative,Figurative	Figurative	Es wurde keine Ausnahmeregelung für diese Anlagen nach Artikel 2 Absatz 2 vorgeschlagen , und die Stillegung der Anlagen nach Inkrafttreten der Richtlinie wäre für die britischen Landwirte mit enormen finanziellen Problemen sowie Problemen im Hinblick auf die Entsorgung tierischer Abfälle verbunden .
sich mit Problem bringen	Figurative,Figurative,Figurative	Figurative	Ich sehe ein , dass der freie Zugang von Erzeugnissen aus dem Mittelmeerraum nach Europa für Erzeuger in unseren südlichen Mitgliedstaaten Probleme mit sich bringt , doch könnten diese zumindest teilweise mit der GAP kompensiert werden .
Problem verursachen	Literal,Literal,Literal	Literal	Das Fehlen von Mechanismen für Verhandlungen mit der Zivilgesellschaft verursacht in einigen AKP-Ländern Probleme .,Während seines gesamten Lebenszyklus verursacht es beträchtliche Probleme für Umwelt und Gesundheit .
Problem bereiten	Figurative,Figurative,Literal	Figurative	Änderungsantrag 28 gewährleistet die von der Kommission geforderte Flexibilität , aber die exakte Formulierung bereitet nach wie vor gewisse Probleme .
Problem entstehen	Literal,Literal,Literal	Literal	Herr Verhofstadt muss jedoch den Rat zu einer Lösung des Problems führen , das durch das Scheitern von Nizza und durch das irische Referendum entstanden ist .
Frage aufwerfen	Figurative,Figurative,Figurative	Figurative	Ich möchte noch eine andere Frage zum Konvent aufwerfen .
Anfrage stellen	Figurative,Literal,Figurative	Figurative	Lassen Sie mich auf die vier gestellten Anfragen zurückkommen .
Frage formulieren	Literal,Literal,Literal	Literal	Die wichtige Frage , die sich jetzt für uns stellt , wurde von Herrn Christodoulou formuliert , nämlich ob wir in der Lage sein werden , unseren Rahmen auf diese neuen Bewerberländer auszuweiten .
lauten Frage	Literal,Literal,Literal	Literal	Meine Frage lautet also : Wie können wir zuversichtlich sein , daß ein Kontrollprogramm über die Fischereitätigkeit einer großen und starken Flotte erfolgreich sein wird ?
Beruf ausüben	Literal,Literal,Literal	Literal	Jeder Mitgliedstaat hat seine eigenen kleinen hinterhältigen Tricks , um dafür zu sorgen , daß es dem Bürger nur nicht zu leicht gemacht wird , seinen Beruf in einem anderen Staat der EU auszuüben .
Ausübung Religion	Literal,Literal,Literal	Literal	Sei es nun , dass religiöse Überzeugungen aufgezwungen werden , oder sei es , dass das Recht auf Ausübung einer Religion verwehrt wird - eins ist so schlimm wie das andere .
Artikel lesen	Literal,Literal,Literal	Literal	Diese beiden Artikel müssen stets im Zusammenhang gelesen werden , ganz gleich in welcher Kombination .
Buch lesen	Literal,Literal,Literal	Literal	Ich sollte nicht immerzu über Bücher reden , aber ich habe gerade ein Buch von David Landis Barnhill gelesen , in dem er untersucht , warum einige Länder wohlhabend sind und andere nicht .
sich Gedächtnis erinnern	Literal,Literal,Figurative	Literal	Wir wissen darum und wir erinnern uns auch seines manchmal kurzen und selektiven Gedächtnisses , wenn es um den Nazismus geht .
Kosten sparen	Literal,Literal,Literal	Literal	Das von Herrn Ferber vorgestellte Konzept zur Einrichtung einer interinstitutionellen Agentur für die Einstellung von Personal findet meine volle Unterstützung , können doch meiner Ansicht nach damit Kosten gespart und der Wettbewerb zwischen den Institutionen beim Anwerben neuer Mitarbeiter eingeschränkt werden .
Kosten reduzieren	Literal,Literal,Literal	Literal	Die Finanzinstitute der Union sind verpflichtet , die Kosten für die Verbraucher bei Überweisungen von einem Gebiet der Eurozone in ein anderes erheblich zu reduzieren .,Derzeit sind die Übersetzungskosten das größte Problem bei dem Versuch , die Kosten zu reduzieren und den Prozeß zu beschleunigen .
Kosten senken	Literal,Literal,Literal	Literal	Wir versuchen jedoch , diese Kosten zu senken , insbesondere bei den Gebäuden .,Abschließend weise ich darauf hin , daß dieser Vorschlag dazu beitragen wird , die Kosten für Patente in Europa erheblich zu senken , da keine zusätzlichen Übersetzungen eines Patents erforderlich sind , sobald es in einer der drei Sprachen des Europäischen Patentamts vorgelegt worden ist .,Wir müssen auch andere zulässige Wege finden , um die mit dem Verkehr zu den Gemeinden auf Inseln und in Randlagen verbundenen Kosten zu senken .
Rückgang Kosten	Figurative,Literal,Literal	Literal	Dieser Gedanke wurde durch die wirtschaftlichen Gegebenheiten in derzeitigen Mitgliedstaaten in sein Gegenteil gekehrt - auch durch die Leistungen in anderen Mitgliedstaaten , wie vor allem in meiner Heimat - Irland , wo eine deutliche Steuersenkung zu einem Rückgang der Lohnkosten und der Einkommenssteuergrenze geführt und dazu beigetragen hat , dass Unternehmen in einem Umfeld harmonischer Beziehungen zwischen den Sozialpartnern überleben können , während der Großteil der Einkünfte der Arbeitnehmer in ihre eigenen Taschen und nicht in die Steuerkasse fließt . Gleichzeitig konnte das Schutzniveau für die Schwächsten in der Gesellschaft verbessert und Investitionen in Bildung und Gesundheit erhöht werden .
Kosten zur Senkung beitragen	Figurative,Literal,Literal	Literal	Es sollte auf lokaler Ebene einen abgestimmten Mechanismus zur Streitbeilegung geben , der zur Senkung der mit der Beilegung von Verbraucherstreitigkeiten verbundenen Kosten beitragen kann . Denn , und darauf haben heute Abend bereits etliche meiner Vorredner hingewiesen , die Beilegung von Streitigkeiten ist im Allgemeinen auch mit zusätzlichen Kosten verbunden .
preiswerter werden	Literal,Literal,Literal	Literal	Die aus der Verdrängung überschüssiger Arbeitskräfte resultierenden menschlichen Probleme dürfen uns natürlich nicht gleichgültig sein , aber wir dürfen gleichzeitig nicht vergessen , dass die Nahrungsmittel preiswerter geworden sind .
Preis sinken	Figurative,Literal,Literal	Literal	In meinem Heimatland würde dies zu Mehrkosten von 4555 GBP beziehungsweise 70 - 90 Euro pro Tier führen , ohne daß dafür irgendein Gegenwert zu erwarten wäre . Wie Herr Goodwill bereits sagte , könnte dieses Verfahren sogar dazu führen , daß die Marktpreise für bestimmte Kategorien von Rindern , insbesondere von Jungbullen , sinken .
Preis reduzieren	Literal,Literal,Literal	Literal	Herr Lamy hat vorhin über die Handelsbeziehungen zu den USA referiert : werden die USA den Preis , den sie ihren Landwirten zahlen , so wie wir reduzieren , oder werden sie ihre umfangreichen Subventionen fortführen ?
Preis senken	Literal,Literal,Literal	Literal	Insofern könnte die Energiegemeinschaft für viel mehr Stabilität sorgen -- zumindest bei den Preisen -- und die Verbraucherpreise sogar senken .
Preis drücken	Figurative,Figurative,Figurative	Figurative	Man schätzt , dass ein Abkommen zwischen der EU und dem Mercosur die Preise für irisches Rindfleisch um 30 % drücken könnte , was allein in Irland zu Einbußen von bis zu 500 Mio . EUR führen würde .
Reduzierung Preis	Literal,Literal,Literal	Literal	Ganz eindeutig besteht , um Geld zu sparen , eine starke Tendenz zur Reduzierung landwirtschaftlicher Preise in Richtung auf das Niveau der Weltmarktpreise und auf das Preisniveau in Osteuropa .
Gebühr senken	Literal,Literal,Literal	Literal	Es gibt Hinweise darauf , daß einige Banken ihre Gebühren in Laufe der letzten fünf Jahre gesenkt haben , nachdem die Kommission angekündigt hatte , sie werde einen Vorschlag zu diesem Thema vorlegen .
Rate senken	Literal,Literal,Literal	Literal	Ich behaupte , daß es weit besser ist , die Wachstumsrate der Landwirtschaft zu senken , um die Gelder zu schützen , die für die Ärmsten der Armen in der Welt bestimmt sind .
Gedanke zurückweisen	Figurative,Figurative,Figurative	Figurative	Wir müssen uns fragen , warum die Regierung des Vereinigten Königreichs versagt hat und warum sie besonders den Gedanken der Ringimpfung angesichts der zunehmenden Forderungen der ländlichen Gemeinden , die sie anwenden wollen , konsequent zurückweist .
Laufbahn ruinieren	Figurative,Figurative,Figurative	Figurative	Wir müssen Möglichkeiten zur Dopingbekämpfung auf internationaler Ebene schaffen , denn , wie wir gesehen haben , kann eine falsche Anschuldigung eine Laufbahn ruinieren oder einen Schatten auf eine ansonsten beispielhafte Karriere wie die von Linford Christie werfen .
Markt sättigen	Figurative,Figurative,Figurative	Figurative	Das Problem ist ja , wenn man viel zusätzliches Geflügelfleisch auf den Weltmarkt bringt -- der ohnehin gesättigt ist -- und wenn man mit dem Einsatz öffentlicher Mittel , um das zu subventionieren , nicht vorsichtig ist , dann stellt man unter Umständen fest , dass das Fleisch wieder auf den europäischen Markt zurückkommt .
Droge verkaufen	Literal,Literal,Literal	Literal	Hier in dieses Parlament zu kommen und über großzügige Vorschläge zu sprechen , macht keinen Sinn , wenn man sich umschaut und sieht , daß junge Menschen aufgrund von Drogenmißbrauch sterben , während diejenigen , die diese Drogen importieren und verkaufen , ungeschoren davonkommen .
